fecha_hora,url,profundidad,tipo,archivo_guardado,palabras_extraidas,notas
2026-05-04T20:26:38,https://explora.upc.edu.pe/77741-boleta-de-pago/%C2%BFdonde-visualizo-mi-calendario-academico-del-semestre-2025,1,ignorada,,0,"words=232,kw=7,method=simple"
2026-05-04T20:26:50,https://explora.upc.edu.pe/77741-boleta-de-pago/cuando-se-publican-las-boletas-de-pago,1,ignorada,,0,"words=266,kw=5,method=playwright"
2026-05-04T20:26:54,https://explora.upc.edu.pe/77741-boleta-de-pago/si-estoy-estudiando-medicina-y-me-encuentro-en-internado-debo-generar-un-pago-adicional,1,ignorada,,0,"words=227,kw=5,method=simple"
2026-05-04T20:27:13,https://sica.upc.edu.pe,1,ignorada,,0,"words=170,kw=1,method=playwright"
2026-05-04T20:27:17,https://explora.upc.edu.pe/77741-boleta-de-pago/%C2%BFpor-qu%C3%A9-debo-pagar-la-pensi%C3%B3n-de-forma-adelantada,1,html,/tmp/upc_documents/html_text/otros/explora_upc_edu_pe_77741-boleta-de-pago__c2_bfpor-qu_c3_a9-debo-pagar-la-pensi_c_7ec87e96.txt,338,"method=simple,kw=6"
2026-05-04T20:27:32,https://explora.upc.edu.pe/77741-boleta-de-pago/%C2%BFc%C3%B3mo-puedo-obtener-los-comprobantes-de-pago-electr%C3%B3nicos-si-solicit%C3%A9-factura,1,ignorada,,0,"words=243,kw=3,method=playwright"
2026-05-04T20:27:32,https://static.helpjuice.com/helpjuice_production/uploads/upload/image/5603/3563530/1697567765179-tutorial_facturas_electronicas_2016.pdf,2,pdf,/tmp/upc_documents/pdfs/otros/static_helpjuice_com_helpjuice_production_uploads_upload_image_5603_3563530_1697_3e691d40.pdf,0,617KB
2026-05-04T20:27:36,https://explora.upc.edu.pe/77741-boleta-de-pago/%C2%BFpuedo-solicitar-pagar-todas-las-cuotas-del-ciclo-regular-al-momento-de-matricularme,1,ignorada,,0,"words=214,kw=3,method=simple"
2026-05-04T20:27:39,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/mi-boleta-esta-vencida-como-puedo-calcular-la-mora-puedo-pagarla-en-los-bancos-autorizados,1,html,/tmp/upc_documents/html_text/becas/explora_upc_edu_pe_77750-asesoramiento-en-cobranzas-y-pagos_mi-boleta-esta-venci_3da7fe40.txt,494,"method=simple,kw=5"
2026-05-04T20:27:44,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/puedo-amortizar-mis-cuotas-en-el-banco,1,ignorada,,0,"words=276,kw=4,method=simple"
2026-05-04T20:27:48,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/por-que-en-el-banco-no-me-salen-todas-las-cuotas-pendientes-a-la-vez,1,ignorada,,0,"words=241,kw=3,method=simple"
2026-05-04T20:27:52,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/quisiera-saber-si-despues-de-pagar-en-el-banco-tengo-que-acercarme-al-area-de-cobranzas-con-el-voucher-de-pago,1,ignorada,,0,"words=234,kw=7,method=simple"
2026-05-04T20:27:56,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/cancele-por-error-con-otro-codigo-que-no-es-el-mio-que-puedo-hacer,1,ignorada,,0,"words=247,kw=3,method=simple"
2026-05-04T20:27:59,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/si-presentas-alguno-de-estos-casos-que-impiden-tu-matricula-soy-alumno-patrocinado-no-me-debitaron-de-mi-tarjeta-la-prim,1,ignorada,,0,"words=283,kw=5,method=simple"
2026-05-04T20:28:03,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/no-pague-mi-boleta-pero-en-bancos-figura-la-boleta-cancelada-que-debo-hacer,1,ignorada,,0,"words=240,kw=3,method=simple"
